,Date,Open,High,Low,Close,Volume
0,2013-08-19,36.3,36.86,36.11,36.41,6722100
1,2013-08-20,35.91,36.25,35.25,35.38,5582900
2,2013-08-21,35.1,35.63,34.68,35.01,5028800
3,2013-08-22,35.73,36.41,35.48,36.26,4993000
4,2013-08-23,36.18,36.43,35.71,36.12,6167400
5,2013-08-26,35.77,36.45,35.77,35.9,3669900
6,2013-08-27,35.5,35.82,35.15,35.27,4585000
7,2013-08-28,35.3,35.43,34.25,34.84,4575400
8,2013-08-29,34.8,34.99,33.99,34.02,4670000
9,2013-08-30,34.8,34.99,33.64,34.34,5399300
10,2013-09-02,35.29,35.71,34.91,35.62,3017400
11,2013-09-03,35.55,35.9,35.23,35.85,3917700
12,2013-09-04,35.41,36.0,35.21,36.0,3295800
13,2013-09-05,35.8,36.17,35.42,35.99,2906700
14,2013-09-06,36.28,36.4,35.62,35.88,3367500
15,2013-09-09,35.71,37.2,35.71,36.95,4719100
16,2013-09-10,37.0,38.31,36.98,37.85,9711200
17,2013-09-11,37.83,38.24,36.85,37.14,7135400
18,2013-09-12,37.14,37.24,36.55,36.95,3956800
19,2013-09-13,36.99,36.99,36.26,36.59,3666700
20,2013-09-16,36.7,36.93,36.21,36.39,3136200
21,2013-09-17,36.27,36.54,35.8,36.49,3162000
22,2013-09-18,36.39,36.68,36.08,36.53,4448400
23,2013-09-19,36.83,36.83,36.02,36.38,3790900
24,2013-09-20,36.2,36.36,35.46,35.77,4918100
25,2013-09-23,36.2,36.36,35.46,36.01,2418300
26,2013-09-24,36.2,36.36,35.32,35.45,4378500
27,2013-09-25,35.45,35.91,35.45,35.75,3398300
28,2013-09-26,35.81,36.11,35.53,36.0,2156100
29,2013-09-27,35.78,35.9,35.01,35.16,4674900
30,2013-09-30,35.78,35.9,34.22,34.46,3996400
31,2013-10-01,34.75,34.75,33.82,34.46,4059600
32,2013-10-02,34.25,34.76,34.1,34.51,2312500
33,2013-10-03,34.51,34.85,33.83,34.04,3940600
34,2013-10-04,34.13,34.4,33.56,34.39,3928400
35,2013-10-07,34.09,34.46,33.91,34.09,3632100
36,2013-10-08,34.1,34.1,33.52,33.61,5268100
37,2013-10-09,33.87,33.87,32.82,33.2,3586300
38,2013-10-10,33.44,33.6,32.94,33.45,3662800
39,2013-10-11,33.5,33.91,33.24,33.77,2246400
40,2013-10-14,33.49,35.38,33.36,35.34,4894500
41,2013-10-15,35.32,36.28,35.04,35.63,9524500
42,2013-10-16,35.51,35.79,35.27,35.44,3546400
43,2013-10-17,35.1,36.23,35.1,34.91,15681700
44,2013-10-18,35.19,35.52,34.71,34.89,12640200
45,2013-10-21,34.97,35.49,34.97,35.38,3380000
46,2013-10-22,35.34,36.25,35.15,35.89,4089800
47,2013-10-23,35.6,35.6,34.84,35.05,3741000
48,2013-10-24,35.05,35.37,34.74,35.05,3549300
49,2013-10-25,34.88,35.09,34.51,35.07,15373800
50,2013-10-28,35.1,35.49,34.92,35.31,6582800
51,2013-10-29,35.6,35.6,34.75,35.14,2798100
52,2013-10-30,35.34,35.51,34.79,35.02,3258500
53,2013-10-31,35.14,35.84,34.89,35.81,5625100
